Quarters,Events,Prizes
Q2-2021,Funspark ULTI 202,"300,000 "
Q4-2022,ESL Challenger at DreamHack Melbourne 2022,"100,000 "
Q2-2023,ESL Challenger at DreamHack Melbourne 2023,"100,000 "
Q4-2023,Intel Extreme Masters Sydney 2023,"250,000 "
Q4-2023,CS Asia Championship 2023,"500,000 "
